__time,/RMSE/data
1669053032.696193,0.001993
1669053032.896346,0.001993
1669053033.096426,0.001993
1669053033.296392,0.001826
1669053033.496360,0.001826
1669053033.696241,0.001826
1669053033.896228,0.001826
1669053034.096184,0.001826
1669053034.296172,0.000705
1669053034.496171,0.000705
1669053034.696171,0.000705
1669053034.896239,0.000705
1669053035.096184,0.000705
1669053035.296310,0.002265
1669053035.496238,0.002265
1669053035.696190,0.002265
1669053035.896162,0.002334
1669053036.096189,0.001182
1669053036.296167,0.001212
1669053036.496195,0.001212
1669053036.696170,0.001212
1669053036.896219,0.001212
1669053037.096434,0.003879
1669053037.296517,0.003879
1669053037.496327,0.003879
1669053037.696317,0.003879
1669053037.896190,0.003879
1669053038.096177,0.003879
1669053038.296237,0.002526
1669053038.496187,0.002158
1669053038.696193,0.002158
1669053038.896169,0.002158
1669053039.096161,0.002158
1669053039.296161,0.002158
1669053039.496151,0.002158
1669053039.696178,0.002158
1669053039.896183,0.002158
1669053040.096198,0.002158
1669053040.296222,0.002158
1669053040.496201,0.002158
1669053040.696175,0.002158
1669053040.896174,0.002158
1669053041.096226,0.002158
1669053041.296377,0.005945
1669053041.496374,0.005945
1669053041.696247,0.005707
1669053041.896248,0.005707
1669053042.096222,0.005707
1669053042.296209,0.005707
1669053042.496190,0.005194
1669053042.696216,0.005194
1669053042.896251,0.004673
1669053043.096255,0.004673
1669053043.296195,0.004673
1669053043.496200,0.001652
1669053043.696264,0.001652
1669053043.896229,0.001652
1669053044.096171,0.001652
1669053044.296250,0.002873
1669053044.496185,0.002873
1669053044.696209,0.002873
1669053044.896272,0.002873
1669053045.096221,0.002873
1669053045.296171,0.002873
1669053045.496180,0.002873
1669053045.696177,0.001907
1669053045.896191,0.001907
1669053046.096178,0.000760
1669053046.296416,0.000760
1669053046.496386,0.000760
1669053046.696464,0.001473
1669053046.896323,0.001473
1669053047.096283,0.001473
1669053047.296242,0.001473
1669053047.496199,0.001473
1669053047.696168,0.002153
1669053047.896181,0.002153
1669053048.096187,0.000387
1669053048.296188,0.000387
1669053048.496200,0.000387
1669053048.696174,0.000387
1669053048.896166,0.000387
1669053049.096170,0.002445
1669053049.296211,0.001253
1669053049.496208,0.007300
1669053049.696194,0.007300
1669053049.896175,0.002949
1669053050.096181,0.002949
1669053050.296392,0.001564
1669053050.496419,0.001564
1669053050.696226,0.001564
1669053050.896175,0.001564
1669053051.096242,0.001564
1669053051.296281,0.001564
1669053051.496209,0.001564
1669053051.696178,0.002620
1669053051.896189,0.002620
1669053052.096195,0.002620
1669053052.296169,0.002620
1669053052.496191,0.002620
1669053052.696172,0.002620
1669053052.896168,0.002620
1669053053.096181,0.002620
1669053053.296210,0.002620
1669053053.496187,0.001809
1669053053.696169,0.001809
1669053053.896198,0.001809
1669053054.096179,0.001809
1669053054.296216,0.001809
1669053054.496375,0.004193
1669053054.696460,0.001352
1669053054.896370,0.001352
1669053055.096214,0.003000
1669053055.296191,0.001694
1669053055.496299,0.001694
1669053055.696189,0.001694
