__time,/RMSE/data,/RMSE/data.0,/RMSE/data.1,/RMSE/layout/data_offset
1669053302.896317,0.189511,,,
1669053303.096259,0.190665,,,
1669053303.296247,0.191464,,,
1669053303.496259,0.189958,,,
1669053303.696215,0.189338,,,
1669053303.896199,0.189338,,,
1669053304.096416,0.189338,,,
1669053304.296418,0.189338,,,
1669053304.496407,0.189458,,,
1669053304.696235,0.189458,,,
1669053304.896252,0.189767,,,
1669053305.096207,0.193388,,,
1669053305.296217,0.187734,,,
1669053305.496166,0.190298,,,
1669053305.696168,0.190298,,,
1669053305.896180,0.189653,,,
1669053306.096207,0.190535,,,
1669053306.296200,0.187335,,,
1669053306.496285,0.190287,,,
1669053306.696177,0.186706,,,
1669053306.896167,0.191219,,,
1669053307.096193,0.191219,,,
1669053307.296179,0.186659,,,
1669053307.496243,0.186659,,,
1669055372.998990,,0.006071,0.002876,0.000000
1669055373.199199,,0.002717,0.002930,0.000000
1669055373.399086,,0.002717,0.002930,0.000000
1669055373.599031,,0.002293,0.003285,0.000000
1669055373.801332,,0.002047,0.003893,0.000000
1669055373.999065,,0.002047,0.003893,0.000000
1669055374.199045,,0.002047,0.003893,0.000000
1669055374.399114,,0.002047,0.003893,0.000000
1669055374.599005,,0.002047,0.003893,0.000000
1669055374.798994,,0.003537,0.004492,0.000000
1669055374.999055,,0.003537,0.004492,0.000000
1669055375.199014,,0.003537,0.004492,0.000000
1669055375.399027,,0.001503,0.004955,0.000000
1669055375.599010,,0.001503,0.004955,0.000000
1669055375.798981,,0.001428,0.005120,0.000000
1669055375.998982,,0.001428,0.005120,0.000000
1669055376.199026,,0.001428,0.005120,0.000000
1669055376.398991,,0.005427,0.002081,0.000000
1669055376.599012,,0.005427,0.002081,0.000000
1669055376.799287,,0.000182,0.004316,0.000000
1669055376.999115,,0.002499,0.005812,0.000000
1669055377.199095,,0.005702,0.007639,0.000000
1669055377.399069,,0.005702,0.007639,0.000000
1669055377.599048,,0.009575,0.008249,0.000000
1669055377.799011,,0.008460,0.008139,0.000000
1669055377.999017,,0.008660,0.008345,0.000000
1669055378.199011,,0.010907,0.009534,0.000000
1669055378.399004,,0.010907,0.009534,0.000000
1669055378.599024,,0.014676,0.010310,0.000000
1669055378.799002,,0.021314,0.009866,0.000000
1669055378.999067,,0.021314,0.009866,0.000000
1669055379.199245,,0.023364,0.010724,0.000000
1669055379.399002,,0.023364,0.010724,0.000000
1669055379.599006,,0.023364,0.010724,0.000000
1669055379.798993,,0.023364,0.010724,0.000000
1669055379.998987,,0.027709,0.011369,0.000000
1669055380.199000,,0.027709,0.011369,0.000000
1669055380.399275,,0.027709,0.011369,0.000000
1669055380.599333,,0.030384,0.012138,0.000000
1669055380.799273,,0.034134,0.010520,0.000000
1669055380.999037,,0.034134,0.010520,0.000000
1669055381.199047,,0.033879,0.011988,0.000000
1669055381.399003,,0.036426,0.011480,0.000000
1669055381.599381,,0.036426,0.011480,0.000000
1669055381.799007,,0.040813,0.013954,0.000000
1669055381.999023,,0.040813,0.013954,0.000000
1669055382.199082,,0.040813,0.013954,0.000000
1669055382.398993,,0.040813,0.013954,0.000000
1669055382.598990,,0.044103,0.016908,0.000000
1669055382.799007,,0.044103,0.016908,0.000000
1669055382.999048,,0.044103,0.016908,0.000000
1669055383.199020,,0.044103,0.016908,0.000000
1669055383.399025,,0.050368,0.016582,0.000000
1669055383.598999,,0.050368,0.016582,0.000000
1669055383.799015,,0.050368,0.016582,0.000000
1669055383.999035,,0.050368,0.016582,0.000000
1669055384.199014,,0.053948,0.018716,0.000000
1669055384.399259,,0.054742,0.019960,0.000000
1669055384.599206,,0.057225,0.018477,0.000000
1669055384.799072,,0.057225,0.018477,0.000000
1669055384.999012,,0.057225,0.018477,0.000000
1669055385.199046,,0.057225,0.018477,0.000000
1669055385.399113,,0.062497,0.019854,0.000000
1669055385.599025,,0.062497,0.019854,0.000000
1669055385.799029,,0.062497,0.019854,0.000000
1669055385.999017,,0.062497,0.019854,0.000000
1669055386.198991,,0.065303,0.020542,0.000000
1669055386.399006,,0.065303,0.020542,0.000000
1669055386.599044,,0.069873,0.020159,0.000000
1669055386.799029,,0.069873,0.020159,0.000000
1669055386.999048,,0.074123,0.018601,0.000000
1669055387.199052,,0.074465,0.018738,0.000000
1669055387.399025,,0.074465,0.018738,0.000000
1669055387.599007,,0.074465,0.018738,0.000000
1669055387.798979,,0.074465,0.018738,0.000000
1669055387.999018,,0.074465,0.018738,0.000000
1669055388.199007,,0.078395,0.019219,0.000000
1669055388.399004,,0.079015,0.020479,0.000000
1669055388.599111,,0.079425,0.020029,0.000000
1669055388.799285,,0.079425,0.020029,0.000000
1669055388.999144,,0.082305,0.020341,0.000000
1669055389.199359,,0.080958,0.027920,0.000000
1669055389.399982,,0.083468,0.027137,0.000000
1669055389.599165,,0.084365,0.025463,0.000000
1669055389.798990,,0.080840,0.028838,0.000000
1669055389.999066,,0.080840,0.027596,0.000000
1669055390.199095,,0.086827,0.028077,0.000000
1669055390.399004,,0.091002,0.031049,0.000000
1669055390.599001,,0.091002,0.031049,0.000000
1669055390.798990,,0.093697,0.029043,0.000000
1669055390.999018,,0.093697,0.029043,0.000000
1669055391.199008,,0.093697,0.029043,0.000000
1669055391.399037,,0.093600,0.030353,0.000000
1669055391.599026,,0.093399,0.030461,0.000000
1669055391.799022,,0.092837,0.030748,0.000000
1669055391.998999,,0.092837,0.030748,0.000000
1669055392.199024,,0.092837,0.030748,0.000000
1669055392.399001,,0.097389,0.030854,0.000000
1669055392.599000,,0.097389,0.030854,0.000000
1669055392.799295,,0.097389,0.030854,0.000000
1669055392.999204,,0.100560,0.031541,0.000000
1669055393.199290,,0.098136,0.033311,0.000000
1669055393.399199,,0.106119,0.034723,0.000000
1669055393.599102,,0.109608,0.034634,0.000000
1669055393.799004,,0.109608,0.034634,0.000000
1669055393.999074,,0.106762,0.035357,0.000000
1669055394.199080,,0.106762,0.035357,0.000000
1669055394.399011,,0.106762,0.035357,0.000000
1669055394.599070,,0.106762,0.035357,0.000000
1669055394.799052,,0.107398,0.034720,0.000000
1669055394.999014,,0.107398,0.034720,0.000000
1669055395.199007,,0.107398,0.034720,0.000000
1669055395.399017,,0.111365,0.039062,0.000000
1669055395.598995,,0.112465,0.039211,0.000000
1669055395.799018,,0.111926,0.039231,0.000000
1669055395.999027,,0.111926,0.039231,0.000000
1669055396.199014,,0.111926,0.039231,0.000000
1669055396.399022,,0.111926,0.039231,0.000000
1669055396.599065,,0.111926,0.039231,0.000000
1669055396.798964,,0.111866,0.039053,0.000000
1669055396.998955,,0.111866,0.039053,0.000000
1669055397.199234,,0.115256,0.038564,0.000000
1669055397.399384,,0.116637,0.038369,0.000000
1669055397.599232,,0.114548,0.038649,0.000000
1669055397.799097,,0.114548,0.038649,0.000000
1669055397.999146,,0.116422,0.041826,0.000000
1669055398.199070,,0.116973,0.041780,0.000000
1669055398.399005,,0.116730,0.000000,0.000000
1669055398.599013,,0.116730,0.000000,0.000000
1669055398.799083,,0.119799,0.041807,0.000000
1669055398.999055,,0.119799,0.041807,0.000000
1669055399.199015,,0.119419,0.041606,0.000000
