__time,/RMSE/data.0,/RMSE/data.1,/RMSE/layout/data_offset
1670336051.675023,0.002503,0.001140,0.000000
1670336051.875014,0.000754,0.001138,0.000000
1670336052.075105,0.000307,0.001028,0.000000
1670336052.275003,0.000307,0.001028,0.000000
1670336052.475019,0.000307,0.001028,0.000000
1670336052.675064,0.001399,0.001078,0.000000
1670336052.875031,0.002257,0.001417,0.000000
1670336053.075022,0.001158,0.001899,0.000000
1670336053.275010,0.002757,0.000720,0.000000
1670336053.475032,0.000905,0.001326,0.000000
1670336053.675021,0.001608,0.001253,0.000000
1670336053.875284,0.002815,0.007113,0.000000
1670336054.075304,0.001357,0.007352,0.000000
1670336054.275469,0.001995,0.005900,0.000000
1670336054.475161,0.004214,0.008568,0.000000
1670336054.675065,0.002596,0.009354,0.000000
1670336054.875067,0.001989,0.011301,0.000000
1670336055.075133,0.002352,0.011210,0.000000
1670336055.275061,0.001887,0.011265,0.000000
1670336055.475013,0.003068,0.011224,0.000000
1670336055.675053,0.001420,0.011292,0.000000
1670336055.874962,0.001917,0.011679,0.000000
1670336056.075000,0.003043,0.011650,0.000000
1670336056.275029,0.003536,0.011853,0.000000
1670336056.475034,0.002828,0.012416,0.000000
1670336056.675079,0.003358,0.012729,0.000000
1670336056.875016,0.005120,0.013487,0.000000
1670336057.075042,0.003944,0.015872,0.000000
1670336057.275039,0.005053,0.016011,0.000000
1670336057.475095,0.004108,0.016264,0.000000
1670336057.675029,0.004703,0.016907,0.000000
1670336057.875050,0.003783,0.014441,0.000000
1670336058.074989,0.003783,0.014441,0.000000
1670336058.275252,0.006152,0.014063,0.000000
1670336058.475265,0.005787,0.017960,0.000000
1670336058.675417,0.004661,0.016821,0.000000
1670336058.875093,0.004047,0.016708,0.000000
1670336059.075089,0.003914,0.016627,0.000000
1670336059.275014,0.003817,0.016425,0.000000
1670336059.475058,0.003250,0.016306,0.000000
1670336059.675008,0.003250,0.016306,0.000000
1670336059.875038,0.004095,0.016006,0.000000
1670336060.075011,0.004061,0.016112,0.000000
1670336060.275025,0.008159,0.017214,0.000000
1670336060.475035,0.004620,0.019386,0.000000
1670336060.675010,0.003889,0.019720,0.000000
1670336060.875026,0.006732,0.020919,0.000000
1670336061.075000,0.007723,0.021791,0.000000
1670336061.274994,0.009487,0.022445,0.000000
1670336061.475012,0.010238,0.024510,0.000000
1670336061.674989,0.011097,0.026448,0.000000
1670336061.875039,0.014895,0.027774,0.000000
1670336062.075034,0.015180,0.027774,0.000000
1670336062.275030,0.015462,0.027774,0.000000
1670336062.475074,0.019977,0.029631,0.000000
1670336062.675194,0.014850,0.028764,0.000000
1670336062.875340,0.015453,0.029008,0.000000
1670336063.075147,0.018003,0.021901,0.000000
1670336063.275023,0.023571,0.022676,0.000000
1670336063.475057,0.024612,0.023111,0.000000
1670336063.675009,0.024124,0.023344,0.000000
1670336063.875042,0.025659,0.023249,0.000000
1670336064.075025,0.028292,0.023649,0.000000
1670336064.275018,0.028896,0.023659,0.000000
1670336064.475034,0.030167,0.024343,0.000000
1670336064.675063,0.028465,0.024934,0.000000
1670336064.875031,0.028752,0.024934,0.000000
1670336065.075000,0.032044,0.025742,0.000000
1670336065.275023,0.041083,0.030815,0.000000
1670336065.475024,0.041375,0.030815,0.000000
1670336065.675008,0.041659,0.030815,0.000000
1670336065.875003,0.041937,0.030815,0.000000
1670336066.075215,0.045303,0.031286,0.000000
1670336066.275339,0.045578,0.031286,0.000000
1670336066.475462,0.045847,0.031286,0.000000
1670336066.675143,0.047524,0.031144,0.000000
1670336066.875083,0.047772,0.031144,0.000000
1670336067.075110,0.048011,0.031144,0.000000
1670336067.275703,0.051981,0.031447,0.000000
1670336067.475062,0.052225,0.031447,0.000000
1670336067.675014,0.052471,0.031447,0.000000
1670336067.874978,0.052690,0.031447,0.000000
1670336068.075001,0.052909,0.031447,0.000000
1670336068.275026,0.053120,0.031447,0.000000
1670336068.475015,0.053323,0.031447,0.000000
1670336068.675007,0.053517,0.031447,0.000000
1670336068.875026,0.053704,0.031447,0.000000
1670336069.075013,0.053881,0.031447,0.000000
1670336069.275021,0.056980,0.034347,0.000000
1670336069.475015,0.068317,0.030960,0.000000
1670336069.674979,0.068535,0.030960,0.000000
1670336069.875006,0.066857,0.031528,0.000000
1670336070.075004,0.070951,0.031283,0.000000
1670336070.275292,0.073519,0.029389,0.000000
1670336070.475258,0.074429,0.029638,0.000000
1670336070.675320,0.074674,0.028125,0.000000
1670336070.875104,0.078983,0.027893,0.000000
1670336071.075115,0.076829,0.028484,0.000000
1670336071.275013,0.077216,0.029472,0.000000
1670336071.475123,0.083746,0.029213,0.000000
1670336071.675041,0.084626,0.030233,0.000000
1670336071.875107,0.085233,0.032197,0.000000
1670336072.075059,0.084216,0.032645,0.000000
1670336072.275052,0.082948,0.031588,0.000000
1670336072.475060,0.084258,0.031368,0.000000
1670336072.675018,0.087260,0.031593,0.000000
1670336072.875046,0.087412,0.031593,0.000000
1670336073.075038,0.088927,0.031428,0.000000
1670336073.275014,0.089884,0.032230,0.000000
1670336073.475006,0.091120,0.032099,0.000000
1670336073.675011,0.092122,0.033275,0.000000
1670336073.874992,0.090738,0.033744,0.000000
1670336074.075200,0.094418,0.032658,0.000000
1670336074.275225,0.093884,0.033451,0.000000
1670336074.475189,0.094981,0.033067,0.000000
1670336074.675139,0.095078,0.033067,0.000000
1670336074.875063,0.096788,0.031928,0.000000
1670336075.075014,0.096708,0.029891,0.000000
1670336075.275013,0.096078,0.030039,0.000000
1670336075.475042,0.094892,0.030251,0.000000
1670336075.675062,0.094940,0.030251,0.000000
1670336075.874990,0.094978,0.030251,0.000000
1670336076.075123,0.097188,0.030049,0.000000
1670336076.274990,0.097267,0.030049,0.000000
1670336076.475048,0.097336,0.030049,0.000000
1670336076.675037,0.097395,0.030049,0.000000
1670336076.875075,0.097443,0.030049,0.000000
1670336077.075012,0.097482,0.030049,0.000000
1670336077.275022,0.097509,0.030049,0.000000
1670336077.474983,0.101472,0.029048,0.000000
1670336077.674996,0.101459,0.029048,0.000000
1670336077.875061,0.101436,0.029048,0.000000
1670336078.074995,0.101402,0.029048,0.000000
