__time,/RMSE/data.0,/RMSE/data.1,/RMSE/layout/data_offset
1669126576.086281,0.045720,0.127894,0.000000
1669126576.286286,0.047991,0.123691,0.000000
1669126576.486177,0.050549,0.121711,0.000000
1669126576.686275,0.049488,0.121580,0.000000
1669126576.886098,0.043508,0.104056,0.000000
1669126577.086815,0.043508,0.104056,0.000000
1669126577.286305,0.036659,0.104824,0.000000
1669126577.487080,0.040892,0.104434,0.000000
1669126577.686288,0.042272,0.104464,0.000000
1669126577.886443,0.037065,0.105481,0.000000
1669126578.086900,0.042708,0.105896,0.000000
1669126578.286841,0.042248,0.105966,0.000000
1669126578.486297,0.044128,0.104464,0.000000
1669126578.686157,0.051962,0.125612,0.000000
1669126578.886905,0.051962,0.125612,0.000000
1669126579.086210,0.055383,0.123106,0.000000
1669126579.286960,0.055383,0.123106,0.000000
1669126579.486287,0.047319,0.122420,0.000000
1669126579.686941,0.051588,0.129445,0.000000
1669126579.886254,0.050209,0.128814,0.000000
1669126580.086818,0.057351,0.139192,0.000000
1669126580.286240,0.057116,0.137246,0.000000
1669126580.491750,0.060262,0.137152,0.000000
1669126580.686161,0.058558,0.136233,0.000000
1669126580.886758,0.058558,0.136233,0.000000
1669126581.086301,0.063276,0.155265,0.000000
1669126581.286480,0.064505,0.158067,0.000000
1669126581.486347,0.065002,0.158089,0.000000
1669126581.686631,0.064220,0.157871,0.000000
1669126581.886236,0.061992,0.156214,0.000000
1669126582.086740,0.061229,0.154392,0.000000
1669126582.286392,0.060623,0.153687,0.000000
1669126582.486405,0.060943,0.153496,0.000000
1669126582.686367,0.061501,0.153305,0.000000
1669126582.886187,0.065747,0.163599,0.000000
1669126583.091216,0.065161,0.159660,0.000000
1669126583.286330,0.065161,0.159660,0.000000
1669126583.486870,0.063181,0.158961,0.000000
1669126583.689525,0.062407,0.158387,0.000000
1669126583.886902,0.062407,0.158387,0.000000
1669126584.086074,0.064038,0.158257,0.000000
1669126584.286516,0.064038,0.158257,0.000000
1669126584.486272,0.063524,0.158203,0.000000
1669126584.692314,0.060530,0.157609,0.000000
1669126584.886372,0.059835,0.161534,0.000000
1669126585.086188,0.060032,0.160780,0.000000
1669126585.286807,0.060032,0.160780,0.000000
1669126585.486822,0.060717,0.160175,0.000000
1669126585.686313,0.057914,0.163710,0.000000
1669126585.886912,0.060385,0.163428,0.000000
1669126586.086198,0.060669,0.162727,0.000000
1669126586.286676,0.060669,0.162727,0.000000
1669126586.486327,0.060675,0.162291,0.000000
1669126586.686397,0.059918,0.162639,0.000000
1669126586.886933,0.059812,0.166578,0.000000
1669126587.086167,0.061419,0.166454,0.000000
1669126587.286762,0.061668,0.165658,0.000000
1669126587.486923,0.060414,0.166283,0.000000
1669126587.686375,0.061110,0.169309,0.000000
1669126587.886706,0.062986,0.168758,0.000000
1669126588.086004,0.063260,0.168060,0.000000
1669126588.287038,0.063260,0.168060,0.000000
1669126588.486302,0.061895,0.154859,0.000000
1669126588.687962,0.057507,0.154483,0.000000
1669126588.886816,0.057507,0.154483,0.000000
1669126589.086226,0.059363,0.157466,0.000000
1669126589.286362,0.059363,0.157466,0.000000
1669126589.486713,0.059155,0.156766,0.000000
1669126589.686575,0.059155,0.156766,0.000000
1669126589.886400,0.062916,0.156453,0.000000
1669126590.086780,0.061280,0.155664,0.000000
1669126590.286348,0.060655,0.155345,0.000000
1669126590.486424,0.061508,0.154858,0.000000
1669126590.686305,0.060083,0.154568,0.000000
1669126590.886348,0.060972,0.154499,0.000000
1669126591.086808,0.059879,0.153993,0.000000
1669126591.286405,0.059093,0.154074,0.000000
1669126591.486920,0.058713,0.154187,0.000000
1669126591.686334,0.057794,0.154434,0.000000
1669126591.886320,0.060200,0.154133,0.000000
1669126592.086550,0.060020,0.153909,0.000000
1669126592.286321,0.060391,0.153535,0.000000
1669126592.486312,0.061081,0.153173,0.000000
1669126592.686315,0.060743,0.152974,0.000000
1669126592.886183,0.059430,0.152436,0.000000
1669126593.086176,0.058838,0.152223,0.000000
1669126593.286201,0.062636,0.151705,0.000000
1669126593.486233,0.059879,0.151498,0.000000
1669126593.686122,0.060057,0.150949,0.000000
1669126593.886796,0.059211,0.150562,0.000000
1669126594.086323,0.058671,0.150403,0.000000
1669126594.286406,0.058870,0.149907,0.000000
1669126594.486133,0.059045,0.149777,0.000000
1669126594.686486,0.060673,0.149266,0.000000
1669126594.886262,0.060604,0.155850,0.000000
1669126595.086839,0.063577,0.155621,0.000000
1669126595.286336,0.064820,0.155212,0.000000
1669126595.486358,0.063072,0.154711,0.000000
1669126595.686987,0.063029,0.154050,0.000000
1669126595.886355,0.060158,0.153377,0.000000
1669126596.086851,0.060567,0.153032,0.000000
1669126596.286407,0.059465,0.152789,0.000000
1669126596.486248,0.059555,0.152666,0.000000
1669126596.686319,0.059952,0.152605,0.000000
1669126596.887166,0.059086,0.152451,0.000000
1669126597.086870,0.057196,0.152920,0.000000
1669126597.286189,0.057422,0.153352,0.000000
1669126597.486220,0.052841,0.138576,0.000000
1669126597.686223,0.052487,0.136852,0.000000
1669126597.886783,0.052792,0.136930,0.000000
1669126598.086742,0.052040,0.137263,0.000000
1669126598.286360,0.050511,0.138304,0.000000
1669126598.486896,0.054614,0.138546,0.000000
1669126598.686124,0.053438,0.138688,0.000000
1669126598.886403,0.054905,0.139933,0.000000
1669126599.086108,0.055425,0.139821,0.000000
1669126599.286332,0.059236,0.145850,0.000000
1669126599.486102,0.057232,0.145711,0.000000
1669126599.686268,0.057216,0.145050,0.000000
1669126599.886227,0.056758,0.144600,0.000000
1669126600.086912,0.059529,0.144710,0.000000
1669126600.286348,0.059376,0.144486,0.000000
1669126600.486554,0.056488,0.144487,0.000000
1669126600.686784,0.056488,0.144487,0.000000
1669126600.886323,0.055415,0.145064,0.000000
1669126601.086348,0.057090,0.145121,0.000000
1669126601.286919,0.057090,0.145121,0.000000
1669126601.486307,0.055406,0.145686,0.000000
1669126601.686287,0.056169,0.145977,0.000000
1669126601.886279,0.055254,0.146597,0.000000
1669126602.086331,0.057077,0.146659,0.000000
1669126602.286352,0.057211,0.146700,0.000000
1669126602.486294,0.057758,0.146419,0.000000
1669126602.686329,0.057193,0.146142,0.000000
1669126602.886295,0.057910,0.147999,0.000000
1669126603.086137,0.059581,0.150973,0.000000
1669126603.286170,0.059930,0.161124,0.000000
1669126603.486092,0.061941,0.164075,0.000000
1669126603.686181,0.064857,0.165015,0.000000
1669126603.886075,0.066432,0.166440,0.000000
1669126604.086337,0.063404,0.170543,0.000000
1669126604.286791,0.063258,0.173106,0.000000
1669126604.487975,0.064970,0.176155,0.000000
1669126604.686257,0.065790,0.179441,0.000000
1669126604.886359,0.066377,0.182785,0.000000
1669126605.086275,0.068927,0.188936,0.000000
1669126605.286688,0.068719,0.192800,0.000000
1669126605.486253,0.070139,0.197675,0.000000
1669126605.686604,0.070027,0.202733,0.000000
1669126605.886280,0.076118,0.207433,0.000000
1669126606.086279,0.077548,0.213097,0.000000
1669126606.286264,0.082323,0.217742,0.000000
