__time,/RMSE/data.0,/RMSE/data.1,/RMSE/layout/data_offset
1670411862.731754,0.000000,0.000000,0.000000
1670411862.938860,0.000000,0.000000,0.000000
1670411863.131804,0.000110,0.000104,0.000000
1670411863.331749,0.001993,0.000160,0.000000
1670411863.531938,0.001725,0.000703,0.000000
1670411863.731648,0.001496,0.000910,0.000000
1670411863.932321,0.001364,0.001002,0.000000
1670411864.131918,0.001880,0.000974,0.000000
1670411864.332063,0.001270,0.000998,0.000000
1670411864.532661,0.000478,0.001263,0.000000
1670411864.731819,0.000587,0.001168,0.000000
1670411864.931990,0.001691,0.001278,0.000000
1670411865.131968,0.000338,0.001166,0.000000
1670411865.332798,0.001304,0.000847,0.000000
1670411865.531776,0.001672,0.000610,0.000000
1670411865.732215,0.001288,0.000741,0.000000
1670411865.932279,0.000850,0.000845,0.000000
1670411866.132350,0.003095,0.001949,0.000000
1670411866.332911,0.001348,0.001793,0.000000
1670411866.532552,0.002865,0.001908,0.000000
1670411866.731845,0.003122,0.001963,0.000000
1670411866.931844,0.002718,0.002061,0.000000
1670411867.131887,0.000906,0.001858,0.000000
1670411867.333389,0.002290,0.001876,0.000000
1670411867.531929,0.002927,0.002143,0.000000
1670411867.732899,0.000355,0.001435,0.000000
1670411867.931906,0.001400,0.001481,0.000000
1670411868.132356,0.001391,0.001789,0.000000
1670411868.331770,0.001289,0.001218,0.000000
1670411868.532062,0.001733,0.001466,0.000000
1670411868.732056,0.002678,0.001963,0.000000
1670411868.931766,0.000416,0.002840,0.000000
1670411869.132091,0.001638,0.003048,0.000000
1670411869.331937,0.001395,0.003154,0.000000
1670411869.531970,0.001335,0.003269,0.000000
1670411869.732354,0.001607,0.003250,0.000000
1670411869.931901,0.001331,0.003234,0.000000
1670411870.131850,0.002746,0.002770,0.000000
1670411870.331663,0.001013,0.002364,0.000000
1670411870.531944,0.002548,0.002296,0.000000
1670411870.732257,0.003242,0.001996,0.000000
1670411870.931945,0.003012,0.001985,0.000000
1670411871.131959,0.002479,0.002066,0.000000
1670411871.331750,0.003374,0.002066,0.000000
1670411871.531859,0.003048,0.001971,0.000000
1670411871.731804,0.003023,0.001644,0.000000
1670411871.931814,0.001997,0.002701,0.000000
1670411872.131736,0.001319,0.002797,0.000000
1670411872.332632,0.002734,0.002046,0.000000
1670411872.532375,0.002734,0.002046,0.000000
1670411872.731752,0.005297,0.006065,0.000000
1670411872.932868,0.007202,0.007615,0.000000
1670411873.132107,0.008285,0.008293,0.000000
1670411873.332028,0.008285,0.008293,0.000000
1670411873.531779,0.011128,0.012397,0.000000
1670411873.731973,0.011128,0.012397,0.000000
1670411873.932021,0.015150,0.012347,0.000000
1670411874.132708,0.015777,0.014484,0.000000
1670411874.332496,0.015777,0.014484,0.000000
1670411874.531953,0.019280,0.023316,0.000000
1670411874.732029,0.019280,0.023316,0.000000
1670411874.931875,0.021018,0.023083,0.000000
1670411875.131895,0.024292,0.029166,0.000000
1670411875.332129,0.026158,0.034808,0.000000
1670411875.532394,0.030084,0.045269,0.000000
1670411875.731855,0.033274,0.052788,0.000000
1670411875.932304,0.039651,0.070903,0.000000
1670411876.132423,0.045609,0.073743,0.000000
1670411876.331832,0.050144,0.075278,0.000000
1670411876.532173,0.052853,0.076219,0.000000
1670411876.732006,0.055968,0.075704,0.000000
1670411876.931870,0.059189,0.076382,0.000000
1670411877.131882,0.061561,0.076163,0.000000
1670411877.332177,0.064831,0.076489,0.000000
1670411877.531936,0.068250,0.076020,0.000000
1670411877.732015,0.069559,0.076840,0.000000
1670411877.932099,0.071658,0.076725,0.000000
1670411878.131969,0.075524,0.076418,0.000000
1670411878.332119,0.077161,0.076970,0.000000
1670411878.531884,0.079797,0.076715,0.000000
1670411878.732078,0.081890,0.076985,0.000000
1670411878.931931,0.084780,0.076694,0.000000
1670411879.132342,0.089621,0.076912,0.000000
1670411879.331934,0.091212,0.076485,0.000000
1670411879.532014,0.092940,0.076741,0.000000
1670411879.732064,0.096088,0.076386,0.000000
1670411879.932016,0.097011,0.076585,0.000000
1670411880.132415,0.098793,0.076512,0.000000
1670411880.332381,0.101572,0.076585,0.000000
1670411880.532524,0.103775,0.077012,0.000000
1670411880.731850,0.105584,0.076924,0.000000
1670411880.932370,0.108409,0.076888,0.000000
1670411881.131921,0.110173,0.077331,0.000000
1670411881.331877,0.114036,0.080836,0.000000
1670411881.532457,0.115568,0.082584,0.000000
1670411881.731890,0.119769,0.082952,0.000000
1670411881.931825,0.124028,0.083549,0.000000
1670411882.131900,0.124186,0.083672,0.000000
1670411882.332007,0.129156,0.084960,0.000000
1670411882.531897,0.130521,0.086297,0.000000
1670411882.731825,0.130529,0.086181,0.000000
1670411882.931973,0.131869,0.085513,0.000000
1670411883.131949,0.133060,0.085329,0.000000
1670411883.331895,0.134300,0.085233,0.000000
1670411883.531915,0.137791,0.084988,0.000000
1670411883.731896,0.138814,0.085782,0.000000
1670411883.931757,0.140045,0.086156,0.000000
1670411884.131949,0.141115,0.086271,0.000000
1670411884.331810,0.143890,0.086631,0.000000
1670411884.532438,0.144760,0.086395,0.000000
1670411884.731940,0.146786,0.086488,0.000000
1670411884.932411,0.147736,0.087762,0.000000
1670411885.131861,0.148219,0.089055,0.000000
1670411885.332048,0.149478,0.090253,0.000000
1670411885.531896,0.151239,0.090265,0.000000
1670411885.731926,0.153117,0.091853,0.000000
1670411885.931920,0.156083,0.092357,0.000000
1670411886.131933,0.154235,0.094413,0.000000
1670411886.332031,0.155455,0.094883,0.000000
1670411886.531858,0.156520,0.096157,0.000000
1670411886.731833,0.159296,0.095841,0.000000
1670411886.931884,0.161034,0.095916,0.000000
1670411887.132380,0.162244,0.094724,0.000000
1670411887.331848,0.167260,0.093950,0.000000
1670411887.532401,0.170231,0.094421,0.000000
1670411887.731922,0.170399,0.094817,0.000000
1670411887.931893,0.174745,0.094552,0.000000
1670411888.131801,0.174090,0.096296,0.000000
1670411888.331918,0.175474,0.096140,0.000000
1670411888.531918,0.173992,0.096325,0.000000
1670411888.731866,0.174240,0.095991,0.000000
1670411888.931918,0.175813,0.095733,0.000000
1670411889.131910,0.177216,0.095683,0.000000
1670411889.332411,0.179619,0.095504,0.000000
1670411889.531868,0.180904,0.095746,0.000000
1670411889.731923,0.183031,0.095762,0.000000
1670411889.931896,0.185060,0.095601,0.000000
1670411890.131999,0.184724,0.095898,0.000000
1670411890.332030,0.184716,0.095912,0.000000
1670411890.531929,0.186333,0.095699,0.000000
1670411890.731914,0.186304,0.095995,0.000000
1670411890.931858,0.189230,0.095511,0.000000
1670411891.132395,0.189185,0.096069,0.000000
1670411891.331889,0.190542,0.095961,0.000000
1670411891.531900,0.189673,0.096540,0.000000
1670411891.731900,0.187520,0.096678,0.000000
1670411891.931984,0.189001,0.096068,0.000000
1670411892.131868,0.189848,0.096036,0.000000
1670411892.331794,0.190859,0.095888,0.000000
1670411892.531846,0.189567,0.096239,0.000000
1670411892.731879,0.190399,0.096084,0.000000
1670411892.931866,0.191674,0.095967,0.000000
1670411893.131858,0.192488,0.095943,0.000000
1670411893.331872,0.191159,0.096439,0.000000
1670411893.531877,0.190886,0.096286,0.000000
1670411893.732415,0.190816,0.096286,0.000000
1670411893.931824,0.191139,0.096234,0.000000
1670411894.132358,0.193455,0.096008,0.000000
1670411894.331887,0.193995,0.096312,0.000000
1670411894.531865,0.194163,0.096418,0.000000
1670411894.731877,0.193778,0.096629,0.000000
1670411894.931956,0.196813,0.099701,0.000000
1670411895.131892,0.194886,0.099952,0.000000
1670411895.331820,0.193333,0.101241,0.000000
1670411895.532417,0.193242,0.100521,0.000000
1670411895.731875,0.193098,0.100391,0.000000
1670411895.931889,0.190477,0.102419,0.000000
1670411896.131883,0.188994,0.102946,0.000000
1670411896.331914,0.188236,0.103070,0.000000
1670411896.532327,0.185816,0.103893,0.000000
1670411896.731933,0.183944,0.103119,0.000000
1670411896.931896,0.183635,0.102450,0.000000
1670411897.131882,0.181397,0.102170,0.000000
1670411897.331936,0.181299,0.101668,0.000000
1670411897.531870,0.181337,0.103392,0.000000
1670411897.731883,0.181715,0.102029,0.000000
1670411897.931912,0.179099,0.102197,0.000000
1670411898.131770,0.177674,0.101654,0.000000
1670411898.331730,0.178147,0.100340,0.000000
1670411898.531766,0.176122,0.099568,0.000000
1670411898.731719,0.174397,0.101140,0.000000
1670411898.931816,0.172663,0.101756,0.000000
1670411899.131776,0.174829,0.101596,0.000000
1670411899.331806,0.172389,0.102355,0.000000
1670411899.531785,0.172533,0.102163,0.000000
1670411899.731834,0.171083,0.102361,0.000000
1670411899.931747,0.171836,0.102164,0.000000
1670411900.131791,0.172357,0.102168,0.000000
1670411900.331817,0.171119,0.102415,0.000000
1670411900.531836,0.172074,0.102087,0.000000
1670411900.731801,0.171465,0.102190,0.000000
1670411900.931782,0.170562,0.102201,0.000000
1670411901.131785,0.168513,0.102210,0.000000
1670411901.331750,0.166192,0.102951,0.000000
1670411901.531846,0.164975,0.102896,0.000000
1670411901.731784,0.163532,0.102671,0.000000
1670411901.931816,0.162056,0.102752,0.000000
1670411902.131801,0.160013,0.102940,0.000000
1670411902.331804,0.157837,0.102864,0.000000
1670411902.531841,0.157276,0.102644,0.000000
1670411902.731865,0.155356,0.102792,0.000000
1670411902.931812,0.154666,0.102621,0.000000
1670411903.131775,0.153189,0.102727,0.000000
1670411903.331977,0.152108,0.102712,0.000000
1670411903.531787,0.150764,0.102747,0.000000
1670411903.732150,0.148804,0.102490,0.000000
1670411903.931743,0.149843,0.101307,0.000000
1670411904.132020,0.149843,0.101307,0.000000
1670411904.332157,0.149843,0.101307,0.000000
1670411904.532169,0.149843,0.101307,0.000000
1670411904.732393,0.149843,0.101307,0.000000
1670411904.931869,0.146909,0.107116,0.000000
1670411905.132114,0.160303,0.114446,0.000000
1670411905.331857,0.154174,0.113270,0.000000
1670411905.531765,0.152911,0.104323,0.000000
1670411905.731848,0.148942,0.094296,0.000000
1670411905.931856,0.146338,0.091946,0.000000
1670411906.131859,0.144696,0.089554,0.000000
1670411906.331836,0.142394,0.089819,0.000000
1670411906.532578,0.144054,0.092708,0.000000
1670411906.731927,0.144054,0.092708,0.000000
1670411906.932024,0.144054,0.092708,0.000000
1670411907.131994,0.144054,0.092708,0.000000
1670411907.331768,0.146329,0.113522,0.000000
1670411907.531845,0.143384,0.111974,0.000000
